node_id,node_name,ccaa,provincia,municipio,voltage,lat,lng,technology,status,grid,capacidad_acceso_mw,potencia_instalada_mw
13409.0,CAÑUELO 220,Andalucía,Cádiz,"Barrios, Los",220.0,36.213727691492,-5.4526081874826,eolica,Puesta en servicio,RdT,36.0,37.2
13409.0,CAÑUELO 220,Andalucía,Cádiz,"Barrios, Los",220.0,36.213727691492,-5.4526081874826,fotovoltaica,Con permisos,RdD,23.0,23.0
13409.0,CAÑUELO 220,Andalucía,Cádiz,"Barrios, Los",220.0,36.213727691492,-5.4526081874826,fotovoltaica,Con permisos,RdT,,
13409.0,CAÑUELO 220,Andalucía,Cádiz,"Barrios, Los",220.0,36.213727691492,-5.4526081874826,fotovoltaica,En curso,RdD,50.0,50.0
13409.0,CAÑUELO 220,Andalucía,Cádiz,"Barrios, Los",220.0,36.213727691492,-5.4526081874826,fotovoltaica,En curso,RdT,,
13337.0,CASTELLAR DE LA FRONTERA 400,Andalucía,Cádiz,Castellar de la Frontera,400.0,36.286329265929,-5.4234446822819,fotovoltaica,Con permisos,RdD,,
13337.0,CASTELLAR DE LA FRONTERA 400,Andalucía,Cádiz,Castellar de la Frontera,400.0,36.286329265929,-5.4234446822819,fotovoltaica,Con permisos,RdT,316.0,347.0
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,almacenamiento,Con permisos,RdD,,18.0
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,almacenamiento,Con permisos,RdT,,90.0
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,eolica,Con permisos,RdD,,
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,eolica,Con permisos,RdT,173.0,167.0
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,eolica,En curso,RdD,,
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,eolica,En curso,RdT,110.6,110.6
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,eolica,Puesta en servicio,RdD,24.0,52.8
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,eolica,Puesta en servicio,RdT,84.05,126.55
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,fotovoltaica,Con permisos,RdD,61.0,109.0
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,fotovoltaica,Con permisos,RdT,297.0,666.0
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,fotovoltaica,En curso,RdD,,
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,fotovoltaica,En curso,RdT,108.0,375.0
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,fotovoltaica,Puesta en servicio,RdD,21.54,21.54
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,fotovoltaica,Puesta en servicio,RdT,241.0,385.14
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,hibridacion,Con permisos,RdD,9.0,
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,hibridacion,Con permisos,RdT,,
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,hibridacion,Puesta en servicio,RdD,28.8,
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,hibridacion,Puesta en servicio,RdT,133.25,
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,hidraulica,Puesta en servicio,RdD,9.89,9.89
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,hidraulica,Puesta en servicio,RdT,,
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,otras,Con permisos,RdD,1.0,2.0
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,otras,Con permisos,RdT,,
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,otras,Puesta en servicio,RdD,50.6,50.6
6686.0,CARTUJA 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.618295605487,-6.1198011229598,otras,Puesta en servicio,RdT,,
12974.0,MIRABAL 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.69742485751,-6.0652831146681,almacenamiento,Con permisos,RdD,,55.0
12974.0,MIRABAL 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.69742485751,-6.0652831146681,almacenamiento,Con permisos,RdT,,
12974.0,MIRABAL 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.69742485751,-6.0652831146681,eolica,Con permisos,RdD,,
12974.0,MIRABAL 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.69742485751,-6.0652831146681,eolica,Con permisos,RdT,,20.0
12974.0,MIRABAL 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.69742485751,-6.0652831146681,fotovoltaica,Con permisos,RdD,36.0,38.0
12974.0,MIRABAL 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.69742485751,-6.0652831146681,fotovoltaica,Con permisos,RdT,40.0,48.0
12974.0,MIRABAL 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.69742485751,-6.0652831146681,fotovoltaica,En curso,RdD,238.48,238.48
12974.0,MIRABAL 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.69742485751,-6.0652831146681,fotovoltaica,En curso,RdT,31.0,31.0
12974.0,MIRABAL 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.69742485751,-6.0652831146681,fotovoltaica,Puesta en servicio,RdD,6.97,56.8
12974.0,MIRABAL 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.69742485751,-6.0652831146681,fotovoltaica,Puesta en servicio,RdT,40.0,69.4
12974.0,MIRABAL 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.69742485751,-6.0652831146681,hibridacion,Puesta en servicio,RdD,45.0,
12974.0,MIRABAL 220,Andalucía,Cádiz,Jerez de la Frontera,220.0,36.69742485751,-6.0652831146681,hibridacion,Puesta en servicio,RdT,20.0,
13097.0,PUERTO REAL 220,Andalucía,Cádiz,Puerto Real,220.0,36.517724306713,-6.1554147100153,almacenamiento,Con permisos,RdD,,24.0
13097.0,PUERTO REAL 220,Andalucía,Cádiz,Puerto Real,220.0,36.517724306713,-6.1554147100153,almacenamiento,Con permisos,RdT,,
13097.0,PUERTO REAL 220,Andalucía,Cádiz,Puerto Real,220.0,36.517724306713,-6.1554147100153,eolica,Con permisos,RdD,12.0,81.0
13097.0,PUERTO REAL 220,Andalucía,Cádiz,Puerto Real,220.0,36.517724306713,-6.1554147100153,eolica,Con permisos,RdT,,
13097.0,PUERTO REAL 220,Andalucía,Cádiz,Puerto Real,220.0,36.517724306713,-6.1554147100153,eolica,Puesta en servicio,RdD,,62.5
13097.0,PUERTO REAL 220,Andalucía,Cádiz,Puerto Real,220.0,36.517724306713,-6.1554147100153,eolica,Puesta en servicio,RdT,,
13097.0,PUERTO REAL 220,Andalucía,Cádiz,Puerto Real,220.0,36.517724306713,-6.1554147100153,fotovoltaica,Con permisos,RdD,405.0,529.0
13097.0,PUERTO REAL 220,Andalucía,Cádiz,Puerto Real,220.0,36.517724306713,-6.1554147100153,fotovoltaica,Con permisos,RdT,,
13097.0,PUERTO REAL 220,Andalucía,Cádiz,Puerto Real,220.0,36.517724306713,-6.1554147100153,fotovoltaica,En curso,RdD,202.63,221.03
13097.0,PUERTO REAL 220,Andalucía,Cádiz,Puerto Real,220.0,36.517724306713,-6.1554147100153,fotovoltaica,En curso,RdT,,
13097.0,PUERTO REAL 220,Andalucía,Cádiz,Puerto Real,220.0,36.517724306713,-6.1554147100153,fotovoltaica,Puesta en servicio,RdD,42.72,139.45
13097.0,PUERTO REAL 220,Andalucía,Cádiz,Puerto Real,220.0,36.517724306713,-6.1554147100153,fotovoltaica,Puesta en servicio,RdT,,
13097.0,PUERTO REAL 220,Andalucía,Cádiz,Puerto Real,220.0,36.517724306713,-6.1554147100153,hibridacion,Con permisos,RdD,28.0,
13097.0,PUERTO REAL 220,Andalucía,Cádiz,Puerto Real,220.0,36.517724306713,-6.1554147100153,hibridacion,Con permisos,RdT,,
13097.0,PUERTO REAL 220,Andalucía,Cádiz,Puerto Real,220.0,36.517724306713,-6.1554147100153,hibridacion,Puesta en servicio,RdD,150.0,
13097.0,PUERTO REAL 220,Andalucía,Cádiz,Puerto Real,220.0,36.517724306713,-6.1554147100153,hibridacion,Puesta en servicio,RdT,,
13097.0,PUERTO REAL 220,Andalucía,Cádiz,Puerto Real,220.0,36.517724306713,-6.1554147100153,otras,Puesta en servicio,RdD,4.28,6.0
13097.0,PUERTO REAL 220,Andalucía,Cádiz,Puerto Real,220.0,36.517724306713,-6.1554147100153,otras,Puesta en servicio,RdT,,
13095.0,PUERTO DE SANTA MARIA 220,Andalucía,Cádiz,"Puerto de Santa María, El",220.0,36.670433662002,-6.3007470040812,eolica,Puesta en servicio,RdD,47.21,69.71
13095.0,PUERTO DE SANTA MARIA 220,Andalucía,Cádiz,"Puerto de Santa María, El",220.0,36.670433662002,-6.3007470040812,eolica,Puesta en servicio,RdT,,
13095.0,PUERTO DE SANTA MARIA 220,Andalucía,Cádiz,"Puerto de Santa María, El",220.0,36.670433662002,-6.3007470040812,fotovoltaica,Con permisos,RdD,39.0,39.0
13095.0,PUERTO DE SANTA MARIA 220,Andalucía,Cádiz,"Puerto de Santa María, El",220.0,36.670433662002,-6.3007470040812,fotovoltaica,Con permisos,RdT,19.0,21.0
13095.0,PUERTO DE SANTA MARIA 220,Andalucía,Cádiz,"Puerto de Santa María, El",220.0,36.670433662002,-6.3007470040812,fotovoltaica,En curso,RdD,95.8,95.8
13095.0,PUERTO DE SANTA MARIA 220,Andalucía,Cádiz,"Puerto de Santa María, El",220.0,36.670433662002,-6.3007470040812,fotovoltaica,En curso,RdT,128.5,146.0
